,wavelength (um),bandpass,true plate scale (ppl)
0,0.556,1a,2.1963191775573803
1,0.5749995,1b,2.274895197447319
2,0.594,1c,2.3533349622886717
3,0.615,2a,2.429542994212402
4,0.638,2b,2.5313109792878064
5,0.656,2c,2.5974031331186525
6,0.681,3a,2.693822841941015
7,0.704,3b,2.7806759166711923
8,0.727,3c,2.8754136666438592
9,0.754,3d,2.9874319382561016
10,0.7775,3e,3.0783692539560437
11,0.792,4a,3.1368556976124378
12,0.825,4b,3.266175828486427
13,0.857,4c,3.3957548286737116
