,band,beamDiamPix,clocking,mag,magModel
0,1b,298.2591247558594,-0.022485949966684186,-0.022485949966684186,0.30737865301621475
1,2c,299.4394836425781,-0.025673101609389768,-0.025673101609389768,0.3032485878111148
2,3c,297.4684753417969,-0.027804442711226316,-0.027804442711226316,0.30102183505507
3,4b,296.3541564941406,-0.03861121212199559,-0.03861121212199559,0.2997222936600897
