,band,beamDiamPix,clocking (degrees),xoffset,yoffset
0,1b,298.2585144042969,-0.0033041962787607867,-0.1474792243433745,0.18485634999786396
1,2c,298.475830078125,0.007791656658854797,-0.017063270518073832,0.06109055113630493
2,3c,297.4533996582031,-0.01266083570628763,0.01605763499647646,0.11802873088734527
3,4b,296.46844482421875,0.009456377664863312,0.014063932490239841,0.04312534720469002
